Timestamp, LinkStatus, FirmwareVersion, Profile, Upstream, Downstream, SNR1, SNR2
1594473918, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594473928, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594473938, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594473948, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594473958, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594473968, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594473979, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594473989, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594473999, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474009, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 12, 17
1594474019, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474029, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474039, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474049, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474060, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474070, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474080, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474090, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 9, 17
1594474100, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474110, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474120, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474131, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474141, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474151, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474161, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474171, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474181, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474191, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474201, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474212, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474222, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474232, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474242, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474252, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474262, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474272, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474282, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474293, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
1594474303, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474313, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474323, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 9, 17
1594474333, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474343, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474353, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474363, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 16, 17
1594474374, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474384, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474394, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 17, 17
1594474404, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 14, 17
1594474414, SHOWTIME, 05-07-06-0D-01-07, 17A, 11999, 27400, 15, 17
